83.9940 	EXP 	New trial (rep=1, index=15): OrderedDict([('cueSide', u'left'), ('cueOri', -90), ('targetX', 500), ('corrAns', u'right'), ('valid', 0), ('SOA_frames', 6)])
84.0078 	EXP 	cue: autoDraw = False
84.0078 	EXP 	target: autoDraw = False
84.0078 	EXP 	fixationITI: autoDraw = True
85.0082 	EXP 	fixationITI: autoDraw = False
85.0082 	EXP 	fixationITI: autoDraw = False
85.0082 	EXP 	cue: ori = -90.0
85.0082 	EXP 	target: pos = array([ 500.,    0.])
85.0082 	EXP 	cue: autoDraw = True
85.1082 	EXP 	cue: autoDraw = False
85.1082 	EXP 	target: autoDraw = True
85.4433 	DATA 	Keypress: left
85.4441 	EXP 	New trial (rep=2, index=0): OrderedDict([('cueSide', u'right'), ('cueOri', 90), ('targetX', -500), ('corrAns', u'left'), ('valid', 0), ('SOA_frames', 24)])
85.4586 	EXP 	cue: autoDraw = False
85.4586 	EXP 	target: autoDraw = False
85.4586 	EXP 	fixationITI: autoDraw = True
85.7095 	DATA 	Keypress: right
86.4602 	EXP 	fixationITI: autoDraw = False
86.4602 	EXP 	fixationITI: autoDraw = False
86.4602 	EXP 	cue: ori = 90.0
86.4602 	EXP 	target: pos = array([-500.,    0.])
86.4602 	EXP 	cue: autoDraw = True
86.8602 	EXP 	cue: autoDraw = False
86.8602 	EXP 	target: autoDraw = True
87.2275 	DATA 	Keypress: left
87.2284 	EXP 	New trial (rep=2, index=1): OrderedDict([('cueSide', u'left'), ('cueOri', -90), ('targetX', 500), ('corrAns', u'right'), ('valid', 0), ('SOA_frames', 24)])
87.2433 	EXP 	cue: autoDraw = False
87.2433 	EXP 	target: autoDraw = False
87.2433 	EXP 	fixationITI: autoDraw = True
88.4762 	EXP 	fixationITI: autoDraw = False
88.4762 	EXP 	fixationITI: autoDraw = False
88.4762 	EXP 	cue: ori = -90.0
88.4762 	EXP 	target: pos = array([ 500.,    0.])
88.4762 	EXP 	cue: autoDraw = True
88.8763 	EXP 	cue: autoDraw = False
88.8763 	EXP 	target: autoDraw = True
89.1607 	DATA 	Keypress: right
89.1614 	EXP 	New trial (rep=2, index=2): OrderedDict([('cueSide', u'left'), ('cueOri', -90), ('targetX', -500), ('corrAns', u'left'), ('valid', 1), ('SOA_frames', 12)])
89.1764 	EXP 	cue: autoDraw = False
89.1764 	EXP 	target: autoDraw = False
89.1764 	EXP 	fixationITI: autoDraw = True
90.3265 	EXP 	fixationITI: autoDraw = False
90.3265 	EXP 	fixationITI: autoDraw = False
90.3265 	EXP 	cue: ori = -90.0
90.3265 	EXP 	target: pos = array([-500.,    0.])
