10.0960 	EXP 	window1: blendMode = 'avg'
10.1114 	EXP 	window1: blendMode = 'avg'
10.1118 	EXP 	window1: blendMode = 'avg'
10.1122 	EXP 	window1: blendMode = 'avg'
10.1130 	EXP 	window1: blendMode = 'avg'
10.1274 	EXP 	window1: blendMode = 'avg'
10.1278 	EXP 	window1: blendMode = 'avg'
10.1281 	EXP 	window1: blendMode = 'avg'
10.1289 	EXP 	window1: blendMode = 'avg'
10.1443 	EXP 	window1: blendMode = 'avg'
10.1447 	EXP 	window1: blendMode = 'avg'
10.1451 	EXP 	window1: blendMode = 'avg'
10.1460 	EXP 	window1: blendMode = 'avg'
10.1605 	EXP 	window1: blendMode = 'avg'
10.1610 	EXP 	window1: blendMode = 'avg'
10.1614 	EXP 	window1: blendMode = 'avg'
10.1623 	EXP 	window1: blendMode = 'avg'
10.1778 	EXP 	window1: blendMode = 'avg'
10.1782 	EXP 	window1: blendMode = 'avg'
10.1785 	EXP 	window1: blendMode = 'avg'
10.1795 	EXP 	window1: blendMode = 'avg'
10.1946 	EXP 	window1: blendMode = 'avg'
10.1951 	EXP 	window1: blendMode = 'avg'
10.1954 	EXP 	window1: blendMode = 'avg'
10.1963 	EXP 	window1: blendMode = 'avg'
10.2116 	EXP 	window1: blendMode = 'avg'
10.2120 	EXP 	window1: blendMode = 'avg'
10.2124 	EXP 	window1: blendMode = 'avg'
10.2132 	EXP 	window1: blendMode = 'avg'
10.2274 	EXP 	window1: blendMode = 'avg'
10.2277 	EXP 	window1: blendMode = 'avg'
10.2281 	EXP 	window1: blendMode = 'avg'
10.2289 	EXP 	window1: blendMode = 'avg'
10.2438 	EXP 	window1: blendMode = 'avg'
10.2443 	EXP 	window1: blendMode = 'avg'
10.2447 	EXP 	window1: blendMode = 'avg'
10.2455 	EXP 	window1: blendMode = 'avg'
10.2607 	EXP 	window1: blendMode = 'avg'
10.2611 	EXP 	window1: blendMode = 'avg'
10.2615 	EXP 	window1: blendMode = 'avg'
10.2623 	EXP 	window1: blendMode = 'avg'
10.2776 	EXP 	window1: blendMode = 'avg'
10.2780 	EXP 	window1: blendMode = 'avg'
10.2784 	EXP 	window1: blendMode = 'avg'
10.2792 	EXP 	window1: blendMode = 'avg'
10.2944 	EXP 	window1: blendMode = 'avg'
10.2948 	EXP 	window1: blendMode = 'avg'
10.2952 	EXP 	window1: blendMode = 'avg'
10.2960 	EXP 	window1: blendMode = 'avg'
10.3107 	EXP 	window1: blendMode = 'avg'
10.3110 	EXP 	window1: blendMode = 'avg'
10.3113 	EXP 	window1: blendMode = 'avg'
10.3122 	EXP 	window1: blendMode = 'avg'
10.3275 	EXP 	window1: blendMode = 'avg'
10.3279 	EXP 	window1: blendMode = 'avg'
10.3283 	EXP 	window1: blendMode = 'avg'
10.3291 	EXP 	window1: blendMode = 'avg'
10.3444 	EXP 	window1: blendMode = 'avg'
10.3448 	EXP 	window1: blendMode = 'avg'
10.3452 	EXP 	window1: blendMode = 'avg'
10.3461 	EXP 	window1: blendMode = 'avg'
10.3606 	EXP 	window1: blendMode = 'avg'
10.3611 	EXP 	window1: blendMode = 'avg'
10.3614 	EXP 	window1: blendMode = 'avg'
10.3622 	EXP 	window1: blendMode = 'avg'
